StartDate,EndDate,Duration__in_seconds_,Finished,RecordedDate,ResponseId,Age,Age_classes,Gender,Party_to_vote_for,PoliticalSpectrum_Left,PoliticalSpectrum_Prog,PoliticalSpectrum_Coal,Education,Education_classes,Househol_composition,No_of_cars_in_househol,Type_of_house,Net_income_household,Postal_code,INHABITANTS_postal_cod,unemployment_socia_ass,share_owner_occupied_h,share_rented_house,Area_address_density,Urban_density_class
2021/11/12 12:41,2021/11/12 12:53,723,True,2021/11/12 12:53,R_7U1zhjT10Fj6Oyd,77,75+,Male,VVD,Centre Right,Conservative,Coalition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Owner-occupied house,3000 - 3999 Euros,1521,11305,10.74745688,50,50,1700,Highly urban (address density of 1 500 to 2 500)
2021/11/12 12:43,2021/11/12 13:11,1689,True,2021/11/12 13:11,R_2SfCEOKAWZpIB4U,68,65-75,Male,VVD,Centre Right,Conservative,Coalition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",2,Owner-occupied house,2000 - 2999 Euros,1461,3630,4.683195592,80,20,1061,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 12:43,2021/11/12 12:55,733,True,2021/11/12 12:55,R_XBTkVGK5l28mcZH,56,55-65,Male,Votes blank or not,Votes blank or not,Votes blank or not,Votes blank or not,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, with children living at home",1,Owner-occupied house,2000 - 2999 Euros,9403,14180,7.193229901,80,20,1187,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 12:44,2021/11/12 13:06,1326,True,2021/11/12 13:06,R_12Sb67J1DHTIPPp,55,55-65,Male,PvdA (Labour Party),Centre Left,Progressive,Opposition parties,Bachelor's degree (HBO/WO),Medium,"Living together/married, with children living at home",2,Owner-occupied house,3000 - 3999 Euros,6932,7425,10.3030303,50,50,1228,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 12:44,2021/11/12 12:58,859,True,2021/11/12 12:58,R_3qtZ9hRp8cL0eSR,67,65-75,Male,VVD,Centre Right,Conservative,Coalition parties,"HAVO, VWO, MBO2-4",Medium,"Single, without children living at home",1,Rented house,2000 - 2999 Euros,5235,6930,9.74025974,60,40,1755,Highly urban (address density of 1 500 to 2 500)
2021/11/12 12:45,2021/11/12 13:52,3972,True,2021/11/12 13:52,R_6yv5tFWgDeg8QN3,64,55-65,Male,JA21,Right,Strongly conservative,Opposition parties,Master (HBO/WO),High,"Single, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,6241,5600,5.982142857,80,20,682,Little urban (address density of 500 to 1 000)
2021/11/12 12:46,2021/11/12 13:02,981,True,2021/11/12 13:02,R_1jUKJ970kyuHHDA,79,75+,Male,SP (Socialist Party),Left,Progressive,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Owner-occupied house,2000 - 2999 Euros,5051,14520,6.163911846,70,30,1389,Moderately urban (address density of 1 000 to 1 500)
2021/11/12 12:47,2021/11/12 12:58,684,True,2021/11/12 12:58,R_3L5dJMKpruJqyrg,71,65-75,Male,D66,Centre,Strongly progressive,Coalition parties,Bachelor's degree (HBO/WO),Medium,"Single, without children living at home",1,Rented house,2000 - 2999 Euros,4861,4200,5,70,30,326,Non-urban (address density of less than 500)
2021/11/12 12:47,2021/11/12 13:15,1671,True,2021/11/12 13:15,R_262XQDSWovQOSEp,72,65-75,Male,SP (Socialist Party),Left,Progressive,Opposition parties,"HAVO, VWO, MBO2-4",Medium,"Living together/married, without children living at home",1,Rented house,2000 - 2999 Euros,2203,4190,5.727923628,70,30,1784,Highly urban (address density of 1 500 to 2 500)
2021/11/12 12:48,2021/11/12 13:08,1208,True,2021/11/12 13:08,R_Yb0Mi5GDvysxV7z,58,55-65,Male,PVV (Partij voor de Vrijheid),Centre,Strongly conservative,Opposition parties,"VMBO, HAVO/VWO first 2 years, MBO 1",Low,"Living together/married, without children living at home",1,Rented house,2000 - 2999 Euros,8501,9770,7.625383828,50,50,1147,Moderately urban (address density of 1 000 to 1 500)
